單位,郵遞區號,地址,電話,層級,latitude,longitude
汐止分局,221,新北市汐止區伯爵街9號,02  26412610,分局,25.0771602,121.6401401
東山派出所,221,新北市汐止區汐平路2段68號,02  26415841,派出所,25.0607022,121.6989063
烘內派出所,221,新北市汐止區汐萬路2段230號,02  26462564,派出所,25.0883423,121.646718
長青派出所,221,新北市汐止區長青路188巷1之1號,02  26451281,派出所,25.1110055,121.6054405
橫科派出所,221,新北市汐止區民權街2段87號,02  26401237,派出所,25.04765,121.6192193
社后派出所,221,新北市汐止區中興路108號,02  26942819,派出所,25.0637276,121.6335138
長安派出所,221,新北市汐止區大同路3段99號,02  86482618,派出所,25.0775832,121.668103
汐止派出所,221,新北市汐止區大同路2段459號,02  26412827,派出所,25.0680178,121.6599477
淡水分局,251,新北市淡水區中正路229號,02 26224330,分局,25.1725348,121.4367036
水源派出所,251,新北市淡水區北新路2段19號,02  26200534,派出所,25.1858207,121.4780766
興仁派出所,251,新北市淡水區興仁路93號,02  26236399,派出所,25.2177148,121.4518135
賢孝派出所,251,新北市淡水區淡金路5段72號,02  28011505,派出所,25.2334968,121.4548319
後厝派出所,252,新北市三芝區後厝里北勢子45之32號,02  26362052,派出所,25.2509807,121.4693932
興華派出所,252,新北市三芝區興華里田心子1號,02  26371851,派出所,25.2046929,121.5021005
三芝分駐所,252,新北市三芝區育英街27號,02  26362049,派出所,25.2574184,121.5011637
中正路派出所,251,新北市淡水區中正路318之1號,02  26212752,派出所,25.172735,121.4367783
中山路派出所,251,新北市淡水區中正東路40號,02  26212753,派出所,25.162166,121.4524638
竹圍派出所,251,新北市淡水區民權路32號,02  28092831,派出所,25.1374492,121.4597957
水碓派出所,251,新北市淡水區中山北路1段160號,02  26212491,派出所,25.1782853,121.4443604
新店分局,231,新北市新店區寶橋路188號4樓,02  29111170,分局,24.9778755,121.5502726
龜山派出所,231,新北市新店區新烏路3段152號,02  26667560,派出所,24.9026771,121.5517
福山派出所,233,新北市烏來區福山里李茂岸30號,02  26616260,派出所,24.7622062,121.5141615
楓子林派出所,223,新北市石碇區豐林里楓子林路32號,02  26631285,派出所,25.0097694,121.6426762
石(石曹)派出所,232,新北市坪林區北宜路9段6號,02  26656343,派出所,24.9024137,121.7198643
漁光派出所,232,新北市坪林區漁光里大舌湖24號,02  26656910,派出所,24.9633997,121.7389038
孝義派出所,233,新北市烏來區孝義里阿玉路2號,02  26616139,派出所,24.8509139,121.5864902
雙城派出所,231,新北市新店區安康路3段209號,02  22158566,派出所,24.9516217,121.4877759
中民派出所,223,新北市石碇區靜安路1段236號,02  26631254,派出所,25.0074652,121.6639716
碧山派出所,233,新北市石碇區北宜路5段42號,02  26651835,派出所,24.9516964,121.6317874
屈尺派出所,231,新北市新店區屈尺路82號,02  26667439,派出所,24.9227738,121.5461836
深坑分駐所,222,新北市深坑區深坑街55號,02  26621658,派出所,25.0018153,121.6152544
忠治派出所,233,新北市烏來區新烏路4段23號,02  26616533,派出所,24.8754069,121.5455745
石碇分駐所,223,新北市石碇區楓子林路32號,02  26631240,派出所,25.0097694,121.6426762
信賢派出所,233,新北市烏來區信福路11號,02  26616400,派出所,24.8373106,121.5260913
坪林分駐所,232,新北市坪林區坪林街106號,02  26656281,派出所,24.9355301,121.7114306
青潭派出所,231,新北市新店區北宜路2段417號,02  22171146,派出所,24.954557,121.5600197
烏來分駐所,233,新北市烏來區烏來街45號,02  26616410,派出所,24.86342,121.5514063
闊瀨派出所,232,新北市坪林區坪雙路3段6號,02  26657041,派出所,24.9656325,121.7712287
安康派出所,231,新北市新店區安康路2段70號,02  22117337,派出所,24.9636746,121.5145614
豐田派出所,223,新北市石碇區豐田里磨石坑8號,02  26631975,派出所,24.9849216,121.6672661
頂城派出所,231,新北市新店區碧潭路75號3樓,02  22118023,派出所,24.9569527,121.5343234
直潭派出所,231,新北市新店區直潭十街27號,02  26667324,派出所,24.9386129,121.5345532
江陵派出所,231,新北市新店區民族路7號,02  29112165,派出所,24.978674,121.541894
金溪派出所,232,新北市坪林區粗窟里金瓜寮23之1號,02  26656487,派出所,24.911245,121.6791344
碧潭派出所,231,新北市新店區新生里北新路1段129號,02  29111665,派出所,24.9629651,121.5393987
安和派出所,231,新北市新店區安和路3段1號,02  29467780,派出所,24.9804194,121.5179681
新莊分局,242,新北市新莊區里中正路150號,02  29924034,分局,25.036757,121.45631
丹鳳派出所,242,新北市新莊區雙鳳路75號1樓,02  29083119,派出所,25.0276625,121.4148529
文化派出所,244,新北市林口區麗園一街5號,02  26095766,派出所,25.0720526,121.3763036
下福派出所,244,新北市林口區下福里下福99之1號,02  26062835,派出所,25.1115592,121.3084221
瑞平派出所,244,新北市林口區瑞平里10鄰44號,02  26052724,派出所,25.1226409,121.3358478
林口分駐所,244,新北市林口區中正路102號,02  26011630,派出所,25.0773197,121.3937978
泰山分駐所,243,新北市泰山區泰林路2段214號,02  29097947,派出所,25.0615717,121.4331078
光華派出所,242,新北市新莊區民安西路141號,02  22050330,派出所,25.0169384,121.4262782
明志派出所,243,新北市泰山區明志路2段426號,02  29069881,派出所,25.0438069,121.4248264
福營派出所,242,新北市新莊區福營路101號,02  29017434,派出所,25.0322145,121.434281
頭前派出所,242,新北市新莊區化成路312號,02  29921043,派出所,25.0481471,121.465787
中港派出所,242,新北市新莊區中港路354號,02  29922112,派出所,25.0465713,121.4518889
新莊派出所,242,新北市新莊區新莊路212號,02  29924018,派出所,25.0346291,121.4533143
中平派出所,242,新北市新莊區中平路286號,02  89919755,派出所,25.0509449,121.4447919
忠孝派出所,244,新北市林口區忠孝二路57號,02  26087165,派出所,25.0701715,121.3632853
瑞芳分局,224,新北市瑞芳區明燈路3段25號,02  24062602,分局,25.1075991,121.8077711
九份派出所,224,新北市瑞芳區豎崎路24號,02  24972609,派出所,25.109656,121.8432891
吉林派出所,228,新北市貢寮區枋腳街4號,02  24941534,派出所,25.0044364,121.8870644
四腳亭派出所,224,新北市瑞芳區瑞竹路124號,02  24576947,派出所,25.1041912,121.7619056
金瓜石派出所,224,新北市瑞芳區金光路51號,02  24961528,派出所,25.1083457,121.8577193
牡丹派出所,227,新北市雙溪區牡丹里牡丹106號,02  24931340,派出所,25.059828,121.8591075
澳底派出所,228,新北市貢寮區延平街36號,02  24901074,派出所,25.0552548,121.9245507
東勢格派出所,226,新北市平溪區東勢里東勢格1號,02  24951379,派出所,25.0051082,121.7496787
柑腳派出所,227,新北市雙溪區外柑里外柑腳37號,02  24931744,派出所,25.0183861,121.8091723
福隆派出所,228,新北市貢寮區福隆街19號,02  24991541,派出所,25.0168988,121.9450045
鼻頭派出所,224,新北市瑞芳區鼻頭路101號,02  24911579,派出所,25.1236997,121.9161109
瑞濱派出所,224,新北市瑞芳區建基路1段5之1號,02  24972009,派出所,25.1210995,121.8196051
猴硐派出所,224,新北市瑞芳區九芎橋路96號,02  24972527,派出所,25.0933991,121.8332483
大寮派出所,224,新北市瑞芳區(魚桀)魚里(魚桀)魚坑路278號,02  24972608,派出所,25.1068378,121.7874266
卯澳派出所,228,新北市貢寮區福連街18號,02  24991540,派出所,25.012916,121.9879577
和美派出所,228,新北市貢寮區和美街30號,02  24901504,派出所,25.0828478,121.9136254
太平派出所,227,新北市雙溪區大平路62號,02  24933317,派出所,25.0357598,121.8651059
貢寮分駐所,228,新北市貢寮區朝陽街56之1號,02  24941304,派出所,25.0217492,121.9100937
十分派出所,226,新北市平溪區十分街283號,02  24958128,派出所,25.0441878,121.7772939
平溪分駐所,226,新北市平溪區靜安路2段141號,02  24951063,派出所,25.0220628,121.7237884
平林派出所,227,新北市雙溪區上林里內平林47號,02  24931794,派出所,25.0290149,121.8322412
雙溪分駐所,227,新北市雙溪區太平路64號,02  24931059,派出所,25.0358883,121.8652443
水湳洞派出所,224,新北市瑞芳區洞頂路8號,02  24961529,派出所,25.1216469,121.8619442
瑞芳派出所,224,新北市瑞芳區明燈路3段25號,02  24972141,派出所,25.1075991,121.8077711
蘆洲分局,247,新北市蘆洲區三民路609號,02  22810555,分局,25.0936309,121.4603145
延平派出所,247,新北市蘆洲區長安街108巷2號,02  82821991,派出所,25.081737,121.4614719
更寮派出所,248,新北市五股區中興路2段147號,02  29711126,派出所,25.077917,121.4583875
成州派出所,248,新北市五股區成泰路3段539號,02  22921296,派出所,25.1014995,121.4515919
龍源派出所,249,新北市八里區龍米路1段225號,02  26182245,派出所,25.1323723,121.4513569
五股分駐所,248,新北市五股區中興路4段67號,02  22916948,派出所,25.0833289,121.4370658
八里分駐所,249,新北市八里區訊塘路37號,02  26101315,派出所,25.1459652,121.3975395
三民派出所,247,新北市蘆洲區三民路609號,02  22823775,派出所,25.0936309,121.4603145
蘆洲派出所,247,新北市蘆洲區中山二路92號,02  22813358,派出所,25.0819408,121.4727573
五工派出所,242,新北市新莊區五工路95之1號,02  22993050,派出所,25.0633623,121.4577296
德音派出所,248,新北市五股區水碓二路1號1樓,02  82923789,派出所,25.0713232,121.4303327
集賢派出所,247,新北市蘆洲區仁義里集賢路245號1樓,02  82832110,派出所,25.08475,121.4817303
金山分局,208,新北市金山區民生路65號,02  24986532,分局,25.2238132,121.6487296
中角派出所,208,新北市金山區永興里濆水7之2號,02  24982136,派出所,25.2653492,121.6296341
崁腳派出所,207,新北市萬里區崁腳路38號,02  24922740,派出所,25.1604315,121.6508265
重光派出所,208,新北市金山區重和里茅埔頭8號,02  24080470,派出所,25.2162818,121.6038681
乾華派出所,253,新北市石門區草里里阿里荖14之1號,02  26381274,派出所,25.2799009,121.6085056
野柳派出所,207,新北市萬里區野柳里港西9號,02  24922510,派出所,25.2037678,121.6850561
老梅派出所,253,新北市石門區老梅里老梅路26號,02  26381253,派出所,25.2892541,121.5459603
大鵬派出所,207,新北市萬里區大鵬里加投路81號,02  24982475,派出所,25.2124824,121.6466727
石門分駐所,253,新北市石門區中山路64號,02  26381244,派出所,25.2904759,121.5667539
金山派出所,208,新北市金山區民生路65號,02  24982009,派出所,25.2238132,121.6487296
萬里分駐所,207,新北市萬里區瑪鋉路153號,02  24922122,派出所,25.1777148,121.6894881
海山分局,220,新北市板橋區漢生東路195號,02  29640322,分局,25.0114172,121.4700726
海山派出所,220,新北市板橋區漢生東路195號,02  29574370,派出所,25.0114172,121.4700726
新海派出所,220,新北市板橋區英士路151號,02  22586867,派出所,25.024047,121.4599471
埔墘派出所,220,新北市板橋區中山路2段286號,02  29616814,派出所,25.0187115,121.4796271
江翠派出所,220,新北市板橋區吳鳳路50巷36號,02  22521225,派出所,25.0302318,121.4700395
文聖派出所,220,新北市板橋區大同街14號,02 22583956,派出所,25.0268307,121.4773597
