單位,郵遞區號,地址,電話,層級,lat,long
重慶北路派出所,103,臺北市大同區重慶北路3段320之2號,02 25944741,派出所,25.0753508,121.5135534
寧夏路派出所,103,臺北市大同區錦西街200號,02 25575011,派出所,25.059372,121.5150906
民族路派出所,103,臺北市大同區重慶北路3段168號,02 25926204,派出所,25.0688292,121.5134803
萬華分局,108,臺北市萬華區康定路22號,02 23140364,分局,25.045123,121.502931
青年路派出所,108,臺北市萬華區萬大路423巷112號,02 23054219,派出所,25.0219129,121.5021199
東園街派出所,108,臺北市萬華區長泰街130號,02 23033247,派出所,25.0223948,121.4982081
西園路派出所,108,臺北市萬華區東園街17號 ,02 23032943,派出所,25.0280848,121.4956659
莒光派出所,108,臺北市萬華區莒光路171號,02 23064987,派出所,25.0311124,121.5027613
華江派出所,108,臺北市萬華區環河南路2段196號,02 23061531,派出所,25.0342853,121.4932177
大理街派出所,108,臺北市萬華區大理街99號,02 23063468,派出所,25.0344029,121.4982979
康定路派出所,108,臺北市萬華區和平西路3段112號,02 23064226,派出所,25.0350824,121.5005103
桂林路派出所,108,臺北市萬華區西園路1段156之1號,02 23314823,派出所,25.0372254,121.4993519
昆明街派出所,108,臺北市萬華區昆明街245號,02 23082353,派出所,25.0378338,121.5039354
漢中街派出所,108,臺北市萬華區漢中街122號,02 23312790,派出所,25.0420955,121.5073497
武昌街派出所,108,臺北市萬華區西寧南路4號 ,02 23312212,派出所,25.0479004,121.5069691
